Interface,IP Address,Status,Protocol,Method,Interface is OK
GigabitEthernet0/0,192.168.128.130,up,up,DHCP,YES
GigabitEthernet0/1,10.0.0.2,up,up,NVRAM,YES
GigabitEthernet0/1.1,192.168.210.2,up,up,NVRAM,YES
GigabitEthernet0/1.101,192.168.110.2,up,up,NVRAM,YES
GigabitEthernet0/1.201,192.168.120.2,up,up,NVRAM,YES
GigabitEthernet0/1.301,192.168.130.2,up,up,NVRAM,YES
GigabitEthernet0/1.401,192.168.140.2,up,up,NVRAM,YES
GigabitEthernet0/2,unassigned,up,up,NVRAM,YES
GigabitEthernet0/2.100,192.168.101.100,up,up,NVRAM,YES
GigabitEthernet0/2.110,10.10.110.2,up,up,NVRAM,YES
GigabitEthernet0/2.120,10.10.120.2,up,up,NVRAM,YES
GigabitEthernet0/2.130,10.10.130.2,up,up,NVRAM,YES
GigabitEthernet0/2.140,10.10.140.2,up,up,NVRAM,YES
GigabitEthernet0/2.160,10.10.160.11,up,up,NVRAM,YES
GigabitEthernet0/2.180,10.10.180.2,up,up,NVRAM,YES
GigabitEthernet0/2.190,10.10.190.2,up,up,NVRAM,YES
GigabitEthernet0/2.200,192.168.201.200,up,up,NVRAM,YES
GigabitEthernet0/2.202,192.168.202.200,up,up,NVRAM,YES
Loopback0,172.1.0.112,up,up,NVRAM,YES
Loopback22,10.33.33.33,up,up,NVRAM,YES
Loopback33,unassigned,up,up,unset,YES
