Access Control List,Access Control Entry,Permission,Logging,Source Network,Destination Network,L3 Protocol,L4 Protocol,Operator,Port
copp-system-p-acl-vrrp6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-rip6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-pim6-reg,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-pim-reg,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-ospf6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-ospf,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-ndp,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-mld,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-igmp,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-icmp6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-icmp,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-hsrp6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-eigrp6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-eigrp,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-vrrp6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A  
copp-system-p-acl-telnet6,20,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,107  
copp-system-p-acl-telnet6,10,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,telnet  
copp-system-p-acl-telnet,20,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,107  
copp-system-p-acl-telnet,10,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,telnet  
copp-system-p-acl-tacacs6,10,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,tacacs  
copp-system-p-acl-tacacs,10,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,tacacs  
copp-system-p-acl-ssh6,10,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,22  
copp-system-p-acl-ssh,10,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,22  
copp-system-p-acl-snmp6,40,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,162  
copp-system-p-acl-snmp6,30,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,161  
copp-system-p-acl-snmp,40,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,162  
copp-system-p-acl-snmp,30,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,161  
copp-system-p-acl-sftp,10,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,115
copp-system-p-acl-rip6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-pim6-reg,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-pim-reg,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-ospf6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-ospf,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-ndp,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-mld,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-igmp,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-icmp6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-icmp,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A  
copp-system-p-acl-https,20,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,443  
copp-system-p-acl-http,20,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,www
copp-system-p-acl-hsrp6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A  
copp-system-p-acl-ftp,20,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,ftp  
copp-system-p-acl-ftp,10,accept,No Logging,N/A,Destination Protocol,N/A,TCP,eq,ftp-data
copp-system-p-acl-eigrp6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-eigrp,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
