Access Control List,Access Control Entry,Permission,Logging,Source Network,Destination Network,L3 Protocol,L4 Protocol,Operator,Port
copp-system-p-acl-auto-rp,10,permit,No Logging,any,224.0.1.39/32 224.0.1.39/32,ip,N/A,N/A,N/A
copp-system-p-acl-auto-rp,20,permit,No Logging,any,224.0.1.40/32 224.0.1.40/32,ip,N/A,N/A,N/A
copp-system-p-acl-bgp,10,permit,No Logging,any,any any,tcp,N/A,N/A,N/A
copp-system-p-acl-bgp,20,permit,No Logging,any,1023 1023,tcp,N/A,N/A,N/A
copp-system-p-acl-dhcp,10,permit,No Logging,any,any any,udp,N/A,N/A,N/A
copp-system-p-acl-dhcp,20,permit,No Logging,any,any any,udp,N/A,N/A,N/A
copp-system-p-acl-dhcp-relay-response,10,permit,No Logging,any,any any,udp,N/A,N/A,N/A
copp-system-p-acl-dhcp-relay-response,20,permit,No Logging,any,any any,udp,N/A,N/A,N/A
copp-system-p-acl-eigrp,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-eigrp6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-ftp,10,permit,No Logging,any,any any,tcp,N/A,N/A,N/A
copp-system-p-acl-ftp,20,permit,No Logging,any,any any,tcp,N/A,N/A,N/A
copp-system-p-acl-ftp,40,permit,No Logging,any,any any,tcp,N/A,N/A,N/A
copp-system-p-acl-hsrp,10,permit,No Logging,any,224.0.0.0/24 224.0.0.0/24,udp,N/A,N/A,N/A
copp-system-p-acl-hsrp6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-http,10,permit,No Logging,any,any any,tcp,N/A,N/A,N/A
copp-system-p-acl-http,20,permit,No Logging,any,any any,tcp,N/A,N/A,N/A
copp-system-p-acl-https,10,permit,No Logging,any,any any,tcp,N/A,N/A,N/A
copp-system-p-acl-https,20,permit,No Logging,any,any any,tcp,N/A,N/A,N/A
copp-system-p-acl-icmp,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-icmp6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-igmp,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-mld,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-msdp,10,permit,No Logging,any,639 639,tcp,N/A,N/A,N/A
copp-system-p-acl-msdp,20,permit,No Logging,any,1023 1023,tcp,N/A,N/A,N/A
copp-system-p-acl-ndp,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-ntp,10,permit,No Logging,any,any any,udp,N/A,N/A,N/A
copp-system-p-acl-ntp,20,permit,No Logging,any,any any,udp,N/A,N/A,N/A
copp-system-p-acl-openflow,10,permit,No Logging,any,any any,tcp,N/A,N/A,N/A
copp-system-p-acl-ospf,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-ospf6,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
copp-system-p-acl-pim,20,permit,No Logging,any,any any,udp,N/A,N/A,N/A
copp-system-p-acl-pim,30,permit,No Logging,any,224.0.0.13/32 224.0.0.13/32,ip,N/A,N/A,N/A
copp-system-p-acl-pim-mdt-join,10,permit,No Logging,any,224.0.0.13/32 224.0.0.13/32,udp,N/A,N/A,N/A
copp-system-p-acl-pim-reg,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
