
Interface,VRF,VRF ID,Site of Origin
Vlan1,default,1,--
Vlan100,default,1,--
Vlan101,default,1,--
Vlan102,default,1,--
Vlan103,default,1,--
Vlan104,default,1,--
Vlan105,default,1,--
loopback1,default,1,--
Ethernet1/3,default,1,--
Ethernet1/4,default,1,--
Ethernet1/5,default,1,--
Ethernet1/6,default,1,--
Ethernet1/7,default,1,--
Ethernet1/8,default,1,--
Ethernet1/9,default,1,--
Ethernet1/10,default,1,--
Ethernet1/11,default,1,--
Ethernet1/12,default,1,--
Ethernet1/13,default,1,--
Ethernet1/14,default,1,--
Ethernet1/15,default,1,--
Ethernet1/16,default,1,--
Ethernet1/17,default,1,--
Ethernet1/18,default,1,--
Ethernet1/19,default,1,--
Ethernet1/20,default,1,--
Ethernet1/21,default,1,--
Ethernet1/22,default,1,--
Ethernet1/23,default,1,--
Ethernet1/24,default,1,--
Ethernet1/25,default,1,--
Ethernet1/26,default,1,--
Ethernet1/27,default,1,--
Ethernet1/28,default,1,--
Ethernet1/29,default,1,--
Ethernet1/30,default,1,--
Ethernet1/31,default,1,--
Ethernet1/32,default,1,--
Ethernet1/33,default,1,--
Ethernet1/34,default,1,--
Ethernet1/35,default,1,--
Ethernet1/36,default,1,--
Ethernet1/37,default,1,--
Ethernet1/38,default,1,--
Ethernet1/39,default,1,--
Ethernet1/40,default,1,--
Ethernet1/41,default,1,--
Ethernet1/42,default,1,--
Ethernet1/43,default,1,--
Ethernet1/44,default,1,--
Ethernet1/45,default,1,--
Ethernet1/46,default,1,--
Ethernet1/47,default,1,--
Ethernet1/48,default,1,--
Ethernet1/49,default,1,--
Ethernet1/50,default,1,--
Ethernet1/51,default,1,--
Ethernet1/52,default,1,--
Ethernet1/53,default,1,--
Ethernet1/54,default,1,--
Ethernet1/55,default,1,--
Ethernet1/56,default,1,--
Ethernet1/57,default,1,--
Ethernet1/58,default,1,--
Ethernet1/59,default,1,--
Ethernet1/60,default,1,--
Ethernet1/61,default,1,--
Ethernet1/62,default,1,--
Ethernet1/63,default,1,--
Ethernet1/64,default,1,--
mgmt0,management,2,--
